metadata,metadata_type,stream,time,tracking_id
"{""face_xyxyn"": [0.008928571827709675, 0.36565908789634705, 0.013313069008290768, 0.38509541749954224], ""gender"": ""Female"", ""gender_conf"": 0.6255412697792053, ""age"": ""20-29"", ""age_conf"": 0.25929176807403564, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.37398168444633484, ""upper_Body_xyxyn"": [0.0456557497382164, 0.44042709469795227, 0.07445686310529709, 0.6301746368408203], ""lower_Body_xyxyn"": [0.048847347497940063, 0.6301746368408203, 0.048847347497940063, 0.6301746368408203], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:47, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3656342029571533, 0.013307898305356503, 0.38501477241516113], ""gender"": ""Female"", ""gender_conf"": 0.6255412697792053, ""age"": ""20-29"", ""age_conf"": 0.2596636712551117, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.37429100275039673, ""upper_Body_xyxyn"": [0.04548195004463196, 0.4401014447212219, 0.07444047927856445, 0.6299867630004883], ""lower_Body_xyxyn"": [0.048862870782613754, 0.6299867630004883, 0.048862870782613754, 0.6299867630004883], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:47, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36571812629699707, 0.013283172622323036, 0.3851051330566406], ""gender"": ""Female"", ""gender_conf"": 0.6261973977088928, ""age"": ""20-29"", ""age_conf"": 0.2596636712551117, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.37429100275039673, ""upper_Body_xyxyn"": [0.045523326843976974, 0.44017672538757324, 0.07451343536376953, 0.6300417184829712], ""lower_Body_xyxyn"": [0.04879378899931908, 0.6300417184829712, 0.04879378899931908, 0.6300417184829712], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:47, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3657938241958618, 0.013290158472955227, 0.38519561290740967], ""gender"": ""Female"", ""gender_conf"": 0.6261973977088928, ""age"": ""20-29"", ""age_conf"": 0.2598465085029602, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.3747415542602539, ""upper_Body_xyxyn"": [0.04549536854028702, 0.44015616178512573, 0.07441552728414536, 0.6302882432937622], ""lower_Body_xyxyn"": [0.04876604676246643, 0.6302882432937622, 0.04876604676246643, 0.6302882432937622], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:48, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3659614622592926, 0.013312633149325848, 0.38538527488708496], ""gender"": ""Female"", ""gender_conf"": 0.626493513584137, ""age"": ""20-29"", ""age_conf"": 0.2598465085029602, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.3747415542602539, ""upper_Body_xyxyn"": [0.04544539377093315, 0.4402044713497162, 0.07432655245065689, 0.6305130124092102], ""lower_Body_xyxyn"": [0.048889417201280594, 0.6305130124092102, 0.048889417201280594, 0.6305130124092102], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:48, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36587217450141907, 0.013306967914104462, 0.38529786467552185], ""gender"": ""Female"", ""gender_conf"": 0.626493513584137, ""age"": ""20-29"", ""age_conf"": 0.2598465085029602, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.3747415542602539, ""upper_Body_xyxyn"": [0.04546964168548584, 0.4400425851345062, 0.074399434030056, 0.6302967071533203], ""lower_Body_xyxyn"": [0.04897008091211319, 0.6302967071533203, 0.04897008091211319, 0.6302967071533203], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:48, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36603298783302307, 0.013301843777298927, 0.3854283392429352], ""gender"": ""Female"", ""gender_conf"": 0.626493513584137, ""age"": ""20-29"", ""age_conf"": 0.2598465085029602, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.3747415542602539, ""upper_Body_xyxyn"": [0.04539955034852028, 0.4400242865085602, 0.07430826872587204, 0.6302804946899414], ""lower_Body_xyxyn"": [0.0488588772714138, 0.6302804946899414, 0.0488588772714138, 0.6302804946899414], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:48, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3658217191696167, 0.013324071653187275, 0.38528361916542053], ""gender"": ""Female"", ""gender_conf"": 0.626493513584137, ""age"": ""20-29"", ""age_conf"": 0.2598465085029602, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.3747415542602539, ""upper_Body_xyxyn"": [0.04560152441263199, 0.440082311630249, 0.07446441799402237, 0.6302419304847717], ""lower_Body_xyxyn"": [0.04890811815857887, 0.6302419304847717, 0.04890811815857887, 0.6302419304847717], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:48, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3658241927623749, 0.013296043500304222, 0.38525715470314026], ""gender"": ""Female"", ""gender_conf"": 0.6266644597053528, ""age"": ""20-29"", ""age_conf"": 0.2598465085029602, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.3747415542602539, ""upper_Body_xyxyn"": [0.04555600881576538, 0.44007179141044617, 0.07448284327983856, 0.6303197145462036], ""lower_Body_xyxyn"": [0.04893770441412926, 0.6303197145462036, 0.04893770441412926, 0.6303197145462036], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:48, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3656463623046875, 0.013373774476349354, 0.3852085471153259], ""gender"": ""Female"", ""gender_conf"": 0.6266644597053528, ""age"": ""20-29"", ""age_conf"": 0.2598465085029602, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.3747415542602539, ""upper_Body_xyxyn"": [0.04537031799554825, 0.44015127420425415, 0.07435021549463272, 0.6303321719169617], ""lower_Body_xyxyn"": [0.04892859235405922, 0.6303321719169617, 0.04892859235405922, 0.6303321719169617], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:48, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3655586540699005, 0.01335142645984888, 0.38507720828056335], ""gender"": ""Female"", ""gender_conf"": 0.6266644597053528, ""age"": ""20-29"", ""age_conf"": 0.2598465085029602, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.37562304735183716, ""upper_Body_xyxyn"": [0.04540281370282173, 0.4402000606060028, 0.0743149146437645, 0.6302515864372253], ""lower_Body_xyxyn"": [0.0489412285387516, 0.6302515864372253, 0.0489412285387516, 0.6302515864372253], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:48, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3655838370323181, 0.013328895904123783, 0.3850904405117035], ""gender"": ""Female"", ""gender_conf"": 0.6266644597053528, ""age"": ""20-29"", ""age_conf"": 0.2598465085029602, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.37562304735183716, ""upper_Body_xyxyn"": [0.04530492424964905, 0.440001517534256, 0.07433115690946579, 0.6302881836891174], ""lower_Body_xyxyn"": [0.04903903603553772, 0.6302881836891174, 0.04903903603553772, 0.6302881836891174], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:49, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3660442531108856, 0.012877806089818478, 0.3849514424800873], ""gender"": ""Female"", ""gender_conf"": 0.6266644597053528, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.37562304735183716, ""upper_Body_xyxyn"": [0.046981554478406906, 0.44150543212890625, 0.07528586685657501, 0.6301848292350769], ""lower_Body_xyxyn"": [0.05041230097413063, 0.6301848292350769, 0.05041230097413063, 0.6301848292350769], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:49, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.36640021204948425, 0.012958879582583904, 0.3853127360343933], ""gender"": ""Female"", ""gender_conf"": 0.6266644597053528, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.37562304735183716, ""upper_Body_xyxyn"": [0.04679510369896889, 0.44127681851387024, 0.0753648653626442, 0.6306411623954773], ""lower_Body_xyxyn"": [0.050265293568372726, 0.6306411623954773, 0.050265293568372726, 0.6306411623954773], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:49, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3658832311630249, 0.01287051010876894, 0.38488566875457764], ""gender"": ""Female"", ""gender_conf"": 0.6266644597053528, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.37562304735183716, ""upper_Body_xyxyn"": [0.04689401760697365, 0.4416112005710602, 0.0945238247513771, 0.631005585193634], ""lower_Body_xyxyn"": [0.05028718709945679, 0.631005585193634, 0.05028718709945679, 0.631005585193634], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:49, 23/05/2023",1
"{""face_xyxyn"": [0.008928571827709675, 0.3658372163772583, 0.012884385883808136, 0.38467875123023987], ""gender"": ""Female"", ""gender_conf"": 0.6266644597053528, ""age"": ""20-29"", ""age_conf"": 0.37431615591049194, ""ethnicity"": ""Middle Eastern"", ""ethnicity_conf"": 0.37562304735183716, ""upper_Body_xyxyn"": [0.04694964364171028, 0.44155287742614746, 0.09483535587787628, 0.630100429058075], ""lower_Body_xyxyn"": [0.049925852566957474, 0.630100429058075, 0.049925852566957474, 0.630100429058075], ""upper_Body_Color"": ""White"", ""lower_Body_Color"": ""Unknown""}",person,rtsp://admin:Password123@10.55.124.197:554/Streaming/Channels/101,"16:43:49, 23/05/2023",1
